"D40" "T2"
"D31" "T64"
"D6" "T58"
"D56" "T49"
"D20" "T28"
"D46" "T33"
"D50" "T60"
"D37" "T36"
"D40" "T36"
"D34" "T23"
"D3" "T43"
"D6" "T52"
"D45" "T69"
"D59" "T66"
"D1" "T39"
"D39" "T47"
"D22" "T50"
"D58" "T27"
"D59" "T1"
"D50" "T26"
"D8" "T39"
"D44" "T70"
"D10" "T57"
"D3" "T50"
"D6" "T32"
"D27" "T42"
"D31" "T9"
"D38" "T9"
"D11" "T63"
"D2" "T51"
"D30" "T2"
"D5" "T59"
"D2" "T72"
"D50" "T44"
"D14" "T41"
"D55" "T75"
"D54" "T64"
"D6" "T41"
"D14" "T43"
"D59" "T57"
"D6" "T47"
"D11" "T41"
"D17" "T76"
"D9" "T65"
"D4" "T45"
"D50" "T54"
"D19" "T21"
"D14" "T47"
"D58" "T28"
"D55" "T74"
"D16" "T54"
"D32" "T52"
"D30" "T67"
"D15" "T58"
"D17" "T45"
"D1" "T16"
"D26" "T11"
"D26" "T67"
"D55" "T13"
"D41" "T41"
"D40" "T75"
"D50" "T70"
"D25" "T71"
"D48" "T20"
"D31" "T4"
"D40" "T35"
"D29" "T46"
"D58" "T7"
"D44" "T59"
"D18" "T30"
"D50" "T28"
"D28" "T63"
"D28" "T23"
"D33" "T45"
"D1" "T29"
"D43" "T53"
"D37" "T68"
"D45" "T65"
"D24" "T73"
"D25" "T39"
"D43" "T48"
"D52" "T72"
"D28" "T13"
"D44" "T74"
"D19" "T54"
"D57" "T49"
"D25" "T52"
"D44" "T20"
"D9" "T43"
"D40" "T17"
"D27" "T27"
"D12" "T70"
"D15" "T48"
"D16" "T77"
"D3" "T76"
"D56" "T16"
"D57" "T19"
"D40" "T28"
"D50" "T27"
"D25" "T47"
"D53" "T21"
"D29" "T71"
"D26" "T35"
"D25" "T74"
"D34" "T49"
"D38" "T54"
"D45" "T48"
"D30" "T6"
"D38" "T64"
"D16" "T6"
"D26" "T64"
"D57" "T72"
"D11" "T30"
"D42" "T72"
"D52" "T4"
"D17" "T21"
"D47" "T3"
"D19" "T61"
"D17" "T1"
"D2" "T62"
"D27" "T13"
"D9" "T36"
"D43" "T27"
"D35" "T18"
"D42" "T7"
"D2" "T5"
"D4" "T42"
"D18" "T39"
"D7" "T66"
"D36" "T21"
"D41" "T14"
"D45" "T3"
"D54" "T70"
"D10" "T2"
"D22" "T31"
"D47" "T59"
"D38" "T5"
"D20" "T11"
"D44" "T38"
"D45" "T56"
"D39" "T36"
"D46" "T18"
"D51" "T25"
"D25" "T27"
